2016/01/10 01:43:46 [error] 2461#0: *30 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
2016/01/11 23:53:49 [error] 20430#0: *179 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.172, server: winecat.me, request: "POST /index.php/action/contents-post-edit?_=d336122be4dc9d8d136b758dc056f450 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-post.php?cid=96"
2016/01/11 23:55:08 [error] 20430#0: *179 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
PHP Notice:  Undefined offset: 1 in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 149" while reading response header from upstream, client: 119.131.143.172, server: winecat.me, request: "GET /index.php/action/ajax?do=feed HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/index.php"
2016/01/12 00:15:42 [error] 20430#0: *488 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 183.79.221.200, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.0", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/12 00:22:24 [error] 20429#0: *567 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.172, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/12 00:56:01 [error] 20429#0: *642 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 95.108.158.155, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me"
2016/01/12 01:39:42 [error] 20429#0: *703 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 130.193.51.47, server: winecat.me, request: "GET /index.php/feed/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/12 08:10:07 [error] 20429#0: *1150 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.172, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/12 10:40:09 [error] 20432#0: *1488 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.56, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/page/2/"
2016/01/12 10:40:09 [error] 20432#0: *1497 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.56, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/12 10:40:10 [error] 20432#0: *1502 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.56, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/category/other/"
2016/01/12 10:40:11 [error] 20432#0: *1511 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.56, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/12 10:40:11 [error] 20432#0: *1513 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.56, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/2015/06/"
2016/01/12 10:40:11 [error] 20432#0: *1524 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.56, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/12 12:35:46 [error] 20432#0: *1690 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 130.193.51.47, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me"
2016/01/12 15:52:13 [error] 20432#0: *2096 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 130.193.51.47, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me"
2016/01/12 22:45:41 [error] 20430#0: *2625 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
PHP Notice:  Undefined offset: 1 in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 149" while reading response header from upstream, client: 119.131.143.172, server: winecat.me, request: "GET /index.php/action/ajax?do=feed HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/admin/"
2016/01/13 06:46:22 [error] 20429#0: *3687 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 141.8.132.26, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 06:47:14 [error] 20429#0: *3694 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 130.193.51.47, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 09:06:25 [error] 20429#0: *3999 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.98.237.52, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/13 09:31:07 [error] 20430#0: *4200 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.52, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/page/2/"
2016/01/13 09:31:08 [error] 20430#0: *4198 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.52, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/13 09:31:09 [error] 20430#0: *4210 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.52, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/category/other/"
2016/01/13 09:31:09 [error] 20430#0: *4212 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.52, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/13 09:31:10 [error] 20430#0: *4216 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.52, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/2015/06/"
2016/01/13 09:31:10 [error] 20430#0: *4231 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.52, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/13 12:17:03 [error] 20430#0: *5294 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 130.193.51.47, server: winecat.me, request: "GET /index.php/archives/35/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me"
2016/01/13 13:13:12 [error] 20430#0: *5591 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.145.15.121, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/13 13:46:57 [error] 20430#0: *5698 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 130.193.51.47, server: winecat.me, request: "GET /index.php/feed/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 15:56:27 [error] 20430#0: *6551 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.10, server: winecat.me, request: "GET /index.php/feed/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 15:56:59 [error] 20430#0: *6566 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 15:58:15 [error] 20430#0: *6581 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.15, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 15:58:58 [error] 20430#0: *6590 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.19, server: winecat.me, request: "GET /index.php/feed/atom/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:00:28 [error] 20430#0: *6607 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.6, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:01:00 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/tag/erlang/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:01:21 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/archives/35/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:02:42 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/author/1/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:03:05 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/feed/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:03:23 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/feed/author/1/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:04:00 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/feed/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:04:08 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/2015/06/page/1/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:04:37 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/feed/atom/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:04:41 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/feed/atom/author/1/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:05:18 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/feed/atom/archives/35/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:05:26 [error] 20430#0: *6609 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.16, server: winecat.me, request: "GET /index.php/feed/atom/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:07:14 [error] 20430#0: *6695 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.12, server: winecat.me, request: "GET /index.php/feed/tag/erlang/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:07:48 [error] 20430#0: *6695 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.12, server: winecat.me, request: "GET /index.php/feed/archives/35/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:09:09 [error] 20430#0: *6695 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.12, server: winecat.me, request: "GET /index.php/feed/atom/tag/erlang/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 16:24:01 [error] 20430#0: *6837 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.14, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/13 22:11:47 [error] 20430#0: *7253 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
PHP Notice:  Undefined offset: 1 in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 149" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "GET /index.php/action/ajax?do=feed HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/"
2016/01/13 22:20:56 [error] 20431#0: *7317 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
PHP Notice:  Undefined offset: 1 in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 149" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "GET /index.php/action/ajax?do=feed HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/admin/"
